번호,지자체 유형,광역,기초,자치법규명,제개정일자,지방의회_기수,최종분야,,
34071,기초지자체_시,경상남도,김해시,김해시 청소년지도위원의 위촉에 관한 조례,2019-10-04,지방의회 8기,복지,,
34072,기초지자체_시,경상남도,김해시,김해시 항일독립운동 기념사업 지원에 관한 조례,2019-10-04,지방의회 8기,문화관광,,
34073,기초지자체_시,경상남도,김해시,김해시 문화다양성의 보호와 증진에 관한 조례,2019-10-04,지방의회 8기,문화관광,,
34074,기초지자체_시,경상남도,김해시,김해시 건강도시 기본 조례,2019-10-04,지방의회 8기,보건의료,,
34075,기초지자체_군,경상남도,의령군,의령군 폐의류 전용 수거함 설치 및 관리 조례,2019-10-04,지방의회 8기,환경,,
34076,기초지자체_군,경상남도,의령군,의령군 지진피해시설물 위험도 평가단 구성 및 운영 조례,2019-10-04,지방의회 8기,안전,,
34077,기초지자체_군,경상남도,의령군,의령군 주차장 조례,2019-10-04,지방의회 8기,건설도시,,
34078,기초지자체_군,경상남도,의령군,의령군 고령운전자 교통사고 예방에 관한 조례,2019-10-04,지방의회 8기,건설도시,,
34079,기초지자체_군,경상남도,남해군,남해군 농산물종합가공센터 관리 및 운영에 관한 조례,2019-10-04,지방의회 8기,농림수산,,
34080,기초지자체_군,경상남도,남해군,남해군 군민안전보험 가입 및 운영 조례,2019-10-04,지방의회 8기,안전,,
34081,기초지자체_군,경상남도,남해군,남해군 중증장애인생산품 우선구매 촉진 등을 위한 조례,2019-10-04,지방의회 8기,경제산업,,
34082,기초지자체_군,경상남도,남해군,남해군 장기요양요원 처우 개선 및 지위 향상에 관한 조례,2019-10-04,지방의회 8기,복지,,
34083,기초지자체_군,경상남도,남해군,남해군 청년 기본 조례,2019-10-04,지방의회 8기,복지,,
34084,기초지자체_시,경상남도,양산시,양산시 지역농업개발센터 설치 운영조례,2019-10-02,지방의회 8기,농림수산,,
34085,기초지자체_시,경상남도,양산시,양산시 귀농귀촌 활성화 지원에 관한 조례,2019-10-02,지방의회 8기,농림수산,,
34086,기초지자체_시,경상남도,양산시,양산시 전통시장 및 상점가 육성을 위한 조례,2019-10-02,지방의회 8기,경제산업,,
34087,기초지자체_시,경상남도,양산시,양산시 기부자 예우 및 기부심사위원회 운영에 관한 조례,2019-10-02,지방의회 8기,복지,,
34088,기초지자체_시,경상남도,양산시,양산시 청년농업인 육성 및 지원 조례,2019-10-02,지방의회 8기,농림수산,,
34089,기초지자체_시,경상남도,밀양시,밀양시 폐기물소각시설 관리 및 운영 조례,2019-10-01,지방의회 8기,환경,,
34090,광역지자체,경상남도,경상남도,경상남도 농수산물 수출인의 날 조례,2019-09-26,지방의회 8기,농림수산,,
34091,광역지자체,경상남도,경상남도,경상남도 깨끗한 농어촌 마을 조성 지원에 관한 조례,2019-09-26,지방의회 8기,농림수산,,
34092,광역지자체,경상남도,경상남도,경상남도 장애인고용촉진 및 직업재활에 관한 조례,2019-09-26,지방의회 8기,복지,,
34093,광역지자체,경상남도,경상남도,경상남도 유네스코 인류무형문화유산 보전 및 진흥에 관한 조례,2019-09-26,지방의회 8기,문화관광,,
34094,광역지자체,경상남도,경상남도,경상남도 수출용 승강기안전부품 및 승강기의 안전인증 면제 확인에 관한 조례,2019-09-26,지방의회 8기,경제산업,,
34095,광역지자체,경상남도,경상남도,경상남도 사회적일자리 조례,2019-09-26,지방의회 8기,경제산업,,
34096,광역지자체,경상남도,경상남도,경상남도 한부모가족 등 지원 조례,2019-09-26,지방의회 8기,복지,,
34097,기초지자체_군,경상남도,고성군,고성문화원 육성 및 지원 조례,2019-09-26,지방의회 8기,문화관광,,
34098,기초지자체_군,경상남도,고성군,고성군 출향인 지원에 관한 조례,2019-09-26,지방의회 8기,행정일반,,
34099,기초지자체_군,경상남도,함안군,함안군 빈집 정비에 관한 조례,2019-09-20,지방의회 8기,건설도시,,
34100,기초지자체_군,경상남도,산청군,유림독립운동기념관 관리ㆍ운영 조례,2019-09-18,지방의회 8기,문화관광,,
34101,기초지자체_군,경상남도,산청군,산청군 문화예술회관 관리ㆍ운영 조례,2019-09-18,지방의회 8기,문화관광,,
34102,기초지자체_군,경상남도,산청군,산청군 동학농민혁명 기념사업 지원에 관한 조례,2019-09-18,지방의회 8기,문화관광,,
34103,기초지자체_군,경상남도,산청군,산청군 문화의 집 관리ㆍ운영 조례,2019-09-18,지방의회 8기,문화관광,,
34104,기초지자체_군,경상남도,산청군,산청군 기산국악당 관리 및 운영 조례,2019-09-18,지방의회 8기,문화관광,,
34105,기초지자체_군,경상남도,산청군,산청군 물의 재이용 촉진 및 지원에 관한 조례,2019-09-18,지방의회 8기,환경,,
34106,기초지자체_군,경상남도,산청군,산청군 약선관 관리ㆍ운영 조례,2019-09-18,지방의회 8기,문화관광,,
34107,기초지자체_군,경상남도,산청군,산청군 황매산 청소년야영장 설치 및 운영 조례,2019-09-18,지방의회 8기,문화관광,,
34108,기초지자체_시,경상남도,거제시,거제시 문화예술 진흥 및 지원에 관한 조례,2019-09-11,지방의회 8기,문화관광,,
34109,기초지자체_시,경상남도,거제시,거제시 안전관리위원회 구성 및 운영에 관한 조례,2019-09-11,지방의회 8기,안전,,
34110,기초지자체_군,경상남도,합천군,합천군 성별영향평가 조례,2019-09-10,지방의회 8기,복지,,
34111,기초지자체_군,경상남도,하동군,하동군 도로복구 원인자부담금 징수 조례,2019-08-30,지방의회 8기,건설도시,,
34112,기초지자체_군,경상남도,하동군,하동군 지하수 조례,2019-08-30,지방의회 8기,건설도시,,
34113,기초지자체_군,경상남도,하동군,하동군 여름철 물놀이 안전 관리 조례,2019-08-30,지방의회 8기,안전,,
34114,기초지자체_군,경상남도,하동군,하동군 응급의료 지원에 관한 조례,2019-08-30,지방의회 8기,보건의료,,
34115,기초지자체_군,경상남도,하동군,하동군 청소년수련원 운영 관리 조례,2019-08-30,지방의회 8기,문화관광,,
34116,기초지자체_군,경상남도,하동군,하동야생녹차산업특구 옥외광고물에 관한 규제특례 조례,2019-08-30,지방의회 8기,농림수산,,
34117,기초지자체_군,경상남도,하동군,하동군 농어업인 융자금 이자 보조금 지원 조례,2019-08-30,지방의회 8기,농림수산,,
34118,기초지자체_군,경상남도,하동군,하동군 한옥 지원 조례,2019-08-30,지방의회 8기,문화관광,,
34119,기초지자체_군,경상남도,함안군,함안군 식품ㆍ공중 위생업소 지원에 관한 조례,2019-08-16,지방의회 8기,보건의료,,
34120,기초지자체_군,경상남도,함안군,함안군 다문화가족 지원 조례,2019-08-16,지방의회 8기,복지,,
34121,기초지자체_군,경상남도,하동군,하동군 주민참여 기본 조례,2019-08-14,지방의회 8기,행정일반,,
34122,기초지자체_군,경상남도,하동군,하동군 교복 지원 조례,2019-08-14,지방의회 8기,교육,,
34123,기초지자체_군,경상남도,하동군,하동군 빈집 정비에 관한 조례,2019-08-14,지방의회 8기,건설도시,,
34124,기초지자체_시,경상남도,창원시,창원시 공단회관 설치 및 운영 조례,2019-08-14,지방의회 8기,경제산업,,
34125,기초지자체_시,경상남도,창원시,창원시 사회적경제기업 제품 구매촉진 및 판로지원에 관한 조례,2019-08-14,지방의회 8기,경제산업,,
34126,기초지자체_시,경상남도,창원시,창원 덕산일반산업단지 조성을 위한 특수목적법인 설립 및 출자 등에 관한 조례,2019-08-14,지방의회 8기,경제산업,,
34127,기초지자체_시,경상남도,밀양시,밀양시 밀양요가 사업 및 한-인도교류 사업 활성화 조례,2019-08-08,지방의회 8기,문화관광,,
34128,기초지자체_시,경상남도,밀양시,밀양시 사립박물관 및 사립미술관 지원에 관한 조례,2019-08-08,지방의회 8기,문화관광,,
34129,기초지자체_시,경상남도,밀양시,밀양시 식품접객업 옥외영업에 관한 조례,2019-08-08,지방의회 8기,보건의료,,
34130,기초지자체_시,경상남도,거제시,거제시 충혼탑 및 충혼묘지 관리 조례,2019-08-08,지방의회 8기,문화관광,,
34131,기초지자체_시,경상남도,거제시,거제시 미세먼지 피해 저감 및 관리 조례,2019-08-08,지방의회 8기,환경,,
34132,기초지자체_군,경상남도,고성군,고성군 저소득층 의치보철 지원 조례,2019-08-05,지방의회 8기,복지,,
34133,광역지자체,경상남도,경상남도,경상남도 건축 기본 조례,2019-08-01,지방의회 8기,건설도시,,
34134,광역지자체,경상남도,경상남도,경상남도 장애인 등을 위한 공공시설 매점 및 자동판매기 설치 등에 관한 조례,2019-08-01,지방의회 8기,복지,,
34135,광역지자체,경상남도,경상남도,경상남도 문화예술교육 지원 조례,2019-08-01,지방의회 8기,문화관광,,
34136,광역지자체,경상남도,경상남도,경상남도 장애물 없는 생활환경 인증 지원에 관한 조례,2019-08-01,지방의회 8기,복지,,
34137,기초지자체_시,경상남도,사천시,사천시 금연환경조성 및 지원 등에 관한 조례,2019-07-31,지방의회 8기,보건의료,,
34138,기초지자체_시,경상남도,사천시,사천시 무인비행장치 산업의 육성 및 지원에 관한 조례,2019-07-31,지방의회 8기,경제산업,,
34139,기초지자체_시,경상남도,사천시,사천시 도로와 다른 시설의 연결에 관한 조례,2019-07-31,지방의회 8기,건설도시,,
34140,기초지자체_군,경상남도,창녕군,창녕군 지방재정공시심의위원회 운영 조례,2019-07-29,지방의회 8기,행정일반,,
34141,기초지자체_군,경상남도,창녕군,창녕군 주민참여예산제 운영 조례,2019-07-29,지방의회 8기,행정일반,,
34142,기초지자체_군,경상남도,창녕군,창녕군 홍보대사 운영에 관한 조례,2019-07-29,지방의회 8기,행정일반,,
34143,기초지자체_군,경상남도,창녕군,창녕군 공공폐수처리시설 운영 및 비용부담 조례,2019-07-29,지방의회 8기,환경,,
34144,기초지자체_군,경상남도,창녕군,창녕군 빈집 정비 지원 조례,2019-07-29,지방의회 8기,건설도시,,
34145,기초지자체_군,경상남도,창녕군,창녕군 저소득 중증장애인 태양열 온수기 설치 지원에 관한 조례,2019-07-29,지방의회 8기,복지,,
34146,기초지자체_군,경상남도,창녕군,창녕군 지방재정계획심의위원회 설치 및 운영 조례,2019-07-29,지방의회 8기,행정일반,,
34147,기초지자체_군,경상남도,함안군,함안군 장애인 등을 위한 공공시설 내의 매점 및 자동판매기 설치 등에 관한 조례,2019-07-19,지방의회 8기,복지,,
34148,기초지자체_군,경상남도,함안군,함안군 여성센터 운영 조례,2019-07-19,지방의회 8기,복지,,
34149,기초지자체_군,경상남도,함안군,함안군 저소득계층 임대보증금 지원 조례,2019-07-19,지방의회 8기,복지,,
34150,기초지자체_시,경상남도,진주시,장애등급제 개편 사항 반영을 위한 진주시립 이성자미술관 운영조례 등 일괄개정조례,2019-07-18,지방의회 8기,복지,,
34151,기초지자체_시,경상남도,진주시,진주시 성별영향평가 조례,2019-07-18,지방의회 8기,복지,,
34152,기초지자체_군,경상남도,함양군,함양군 금연환경 조성 및 간접흡연피해방지 조례,2019-07-18,지방의회 8기,보건의료,,
34153,기초지자체_군,경상남도,함양군,함양군 빈집 정비 지원 조례,2019-07-18,지방의회 8기,건설도시,,
34154,기초지자체_군,경상남도,하동군,하동군 고령운전자 교통사고 예방을 위한 지원 조례,2019-07-15,지방의회 8기,건설도시,,
34155,기초지자체_시,경상남도,창원시,창원시 웰다잉 문화조성에 관한 조례,2019-07-15,지방의회 8기,복지,,
34156,광역지자체,경상남도,경상남도,경상남도 공예문화산업 육성 및 지원에 관한 조례,2019-07-11,지방의회 8기,문화관광,,
34157,기초지자체_시,경상남도,밀양시,밀양시 민주평화통일자문회의 대행기관 운영에 관한 조례,2019-07-11,지방의회 8기,행정일반,,
34158,기초지자체_시,경상남도,밀양시,밀양시 선비문화 진흥에 관한 조례,2019-07-11,지방의회 8기,문화관광,,
34159,기초지자체_시,경상남도,밀양시,밀양시 빈집 정비 지원 조례,2019-07-11,지방의회 8기,건설도시,,
34160,기초지자체_시,경상남도,사천시,사천시 시민소통위원회 설치 및 운영 등에 관한 조례,2019-07-09,지방의회 8기,행정일반,,
34161,기초지자체_시,경상남도,사천시,사천시 헌혈장려조례,2019-07-09,지방의회 8기,보건의료,,
34162,기초지자체_시,경상남도,통영시,통영시보 조례,2019-07-01,지방의회 8기,행정일반,,
34163,기초지자체_시,경상남도,통영시,통영시 음식판매자동차의 영업장소 등에 관한 조례,2019-07-01,지방의회 8기,경제산업,,
34164,기초지자체_시,경상남도,통영시,통영시 장애인가정 출산지원금 지급 조례,2019-07-01,지방의회 8기,복지,,
34165,기초지자체_시,경상남도,통영시,통영시 장애인 차별금지 및 인권보장에 관한 조례,2019-07-01,지방의회 8기,복지,,
34166,기초지자체_시,경상남도,통영시,통영시 고령친화도시 조성에 관한 조례,2019-07-01,지방의회 8기,복지,,
34167,기초지자체_시,경상남도,통영시,통영시 사회적경제 활성화 및 지원에 관한 조례,2019-07-01,지방의회 8기,경제산업,,
34168,기초지자체_시,경상남도,밀양시,밀양시 공공시설내의 매점 및 자동판매기 설치 등에 관한 조례,2019-07-01,지방의회 8기,행정일반,,
34169,기초지자체_시,경상남도,양산시,양산시 시민장(市民葬)등에 관한 조례,2019-07-01,지방의회 8기,행정일반,,
34170,기초지자체_시,경상남도,양산시,장애인등급제 폐지에 따른 양산시 조례 일괄개정조례,2019-07-01,지방의회 8기,복지,,
34171,기초지자체_시,경상남도,양산시,양산시 안전관리자문단 구성 및 운영에 관한 조례,2019-07-01,지방의회 8기,안전,,
34172,기초지자체_시,경상남도,양산시,양산시 도시역사문화 아카이브 구축 및 운영 조례,2019-07-01,지방의회 8기,문화관광,,
34173,기초지자체_시,경상남도,양산시,양산시 에너지 기본 조례,2019-07-01,지방의회 8기,환경,,
34174,기초지자체_시,경상남도,양산시,양산시 장애인등을 위한 공공시설매점 및 자동판매기설치등에 관한 조례,2019-07-01,지방의회 8기,복지,,
34175,기초지자체_군,경상남도,고성군,고성군 공공시설 내 매점 및 자동판매기 설치 등에 관한 조례,2019-07-01,지방의회 8기,행정일반,,
34176,기초지자체_군,경상남도,고성군,고성군 명예군민증 수여 조례,2019-07-01,지방의회 8기,행정일반,,
34177,기초지자체_군,경상남도,고성군,고성군 정신건강복지센터 설치 및 운영 조례,2019-07-01,지방의회 8기,보건의료,,
34178,기초지자체_군,경상남도,고성군,고성군 계절 인플루엔자 예방접종 및 위탁에 관한 조례,2019-07-01,지방의회 8기,보건의료,,
34179,기초지자체_군,경상남도,고성군,고성군 치매관리 및 지원에 관한 조례,2019-07-01,지방의회 8기,보건의료,,
34180,기초지자체_군,경상남도,고성군,고성군 헌혈 장려 조례,2019-07-01,지방의회 8기,보건의료,,
34181,기초지자체_군,경상남도,하동군,하동군 군민장ㆍ군청장에 관한 조례,2019-07-01,지방의회 8기,행정일반,,
34182,기초지자체_군,경상남도,하동군,하동군 홍보대사 위촉 및 운영 조례,2019-07-01,지방의회 8기,행정일반,,
34183,기초지자체_군,경상남도,하동군,하동군 자치분권 촉진 및 지원에 관한 조례,2019-07-01,지방의회 8기,행정일반,,
34184,기초지자체_군,경상남도,하동군,하동군 사천공항 활성화를 위한 재정지원 조례,2019-07-01,지방의회 8기,건설도시,,
34185,기초지자체_군,경상남도,하동군,명창 유성준ㆍ이선유 판소리 기념관 관리 및 운영 조례,2019-07-01,지방의회 8기,문화관광,,
34186,기초지자체_군,경상남도,하동군,하동군 민자유치사업 심의위원회 운영 조례,2019-07-01,지방의회 8기,경제산업,,
34187,기초지자체_군,경상남도,거창군,거창군 공설시장 개설 및 관리 조례,2019-07-01,지방의회 8기,경제산업,,
34188,기초지자체_군,경상남도,거창군,거창군 유용미생물배양센터 운영 및 관리 조례,2019-07-01,지방의회 8기,환경,,
34189,기초지자체_군,경상남도,거창군,거창군 병해충예찰ㆍ방제단 구성 및 운영 조례,2019-07-01,지방의회 8기,농림수산,,
34190,기초지자체_군,경상남도,거창군,거창군 여성장애인 출산지원금 지급조례,2019-07-01,지방의회 8기,복지,,
34191,기초지자체_군,경상남도,거창군,거창군 장애인 근로사업장 설치 및 운영 조례,2019-07-01,지방의회 8기,복지,,
34192,기초지자체_군,경상남도,거창군,장애등급제 일괄개정을 위한 거창군 장애공무원 편의지원 조례 등 일부개정조례,2019-07-01,지방의회 8기,복지,,
34193,기초지자체_시,경상남도,김해시,김해시 지하안전위원회 설치 및 운영 조례,2019-06-28,지방의회 8기,안전,,
34194,기초지자체_시,경상남도,김해시,김해시 헌혈 장려 조례,2019-06-28,지방의회 8기,보건의료,,
34195,기초지자체_시,경상남도,김해시,김해시 물 절약을 위한 절수설비 및 절수기기 설치 의무화에 관한 조례,2019-06-28,지방의회 8기,환경,,
34196,기초지자체_군,경상남도,산청군,산청군 공공시설내의 매점 및 자동판매기 설치 등에 관한 조례,2019-06-28,지방의회 8기,행정일반,,
34197,기초지자체_군,경상남도,산청군,산청군 사회적경제 활성화 및 지원에 관한 조례,2019-06-28,지방의회 8기,경제산업,,
34198,기초지자체_군,경상남도,의령군,의령군 공공시설내의 매점 및 자동판매기 설치 등에 관한 조례,2019-06-26,지방의회 8기,행정일반,,
34199,기초지자체_군,경상남도,의령군,의령군 작은목욕탕 관리 및 운영 조례,2019-06-26,지방의회 8기,복지,,
34200,기초지자체_군,경상남도,의령군,의령군 장애인 보조기기 수리 지원에 관한 조례,2019-06-26,지방의회 8기,복지,,
34201,기초지자체_군,경상남도,합천군,합천군 음식판매자동차의 영업장소 등에 관한 조례,2019-06-21,지방의회 8기,경제산업,,
34202,기초지자체_군,경상남도,합천군,합천군 자치법규 일괄정비 조례,2019-06-21,지방의회 8기,행정일반,,
34203,기초지자체_군,경상남도,합천군,합천군 항공스쿨 설치 및 운영에 관한 조례,2019-06-21,지방의회 8기,경제산업,,
34204,기초지자체_군,경상남도,남해군,남해군 범죄피해자 보호 및 지원에 관한 조례,2019-06-18,지방의회 8기,복지,,
34205,기초지자체_군,경상남도,남해군,남해군 민원담당 공무원 보험ㆍ공제 등의 가입 조례,2019-06-18,지방의회 8기,행정일반,,
34206,기초지자체_군,경상남도,남해군,남해군 보물섬 800리길 조성 및 관리에 관한 조례,2019-06-18,지방의회 8기,문화관광,,
34207,기초지자체_군,경상남도,남해군,남해군 여성인력개발센터 관리 및 운영 조례,2019-06-18,지방의회 8기,경제산업,,
34208,기초지자체_군,경상남도,남해군,남해군 거북선의 관리 및 운영에 관한 조례,2019-06-18,지방의회 8기,문화관광,,
34209,기초지자체_시,경상남도,진주시,진주시 노사민정협의회 설치 및 운영 조례,2019-06-10,지방의회 8기,경제산업,,
34210,기초지자체_시,경상남도,진주시,진주시 정책실명제 운영 조례,2019-06-10,지방의회 8기,행정일반,,
34211,광역지자체,경상남도,경상남도,경상남도 생활악취 방지 조례,2019-06-07,지방의회 8기,환경,,
34212,광역지자체,경상남도,경상남도,경상남도 지방공무원 특수지근무수당 지급대상 지역 및 기관의 등급 등에 관한 조례,2019-06-07,지방의회 8기,행정일반,,
34213,광역지자체,경상남도,경상남도,경상남도 유니버설디자인 조례,2019-06-07,지방의회 8기,건설도시,,
34214,기초지자체_시,경상남도,거제시,거제시 장애인 문화예술 진흥 조례,2019-06-05,지방의회 8기,문화관광,,
34215,기초지자체_시,경상남도,거제시,거제시 장애인가정 출산지원금 지원 조례,2019-06-05,지방의회 8기,복지,,
34216,기초지자체_시,경상남도,거제시,거제시 사회재난 구호 및 복구 지원에 관한 조례,2019-06-05,지방의회 8기,안전,,
34217,기초지자체_군,경상남도,함양군,함양군 유용미생물 배양센터 운영 조례,2019-06-05,지방의회 8기,환경,,
34218,기초지자체_군,경상남도,함양군,함양군 공공시설 내 매점 및 자동판매기 설치 등에 관한 조례,2019-06-05,지방의회 8기,행정일반,,
34219,기초지자체_시,경상남도,사천시,사천시 빈집 정비 지원 조례,2019-06-04,지방의회 8기,건설도시,,
34220,기초지자체_시,경상남도,사천시,사천시 장애인 등을 위한 공공시설의 매점 및 자동판매기 설치 ㆍ계약에 관한 조례,2019-06-04,지방의회 8기,복지,,
34221,기초지자체_시,경상남도,사천시,사천시 장애인복지위원회 설치 및 운영 조례,2019-06-04,지방의회 8기,복지,,
34222,기초지자체_군,경상남도,고성군,고성군 도시재생 활성화 및 지원에 관한 조례,2019-06-03,지방의회 8기,건설도시,,
34223,기초지자체_시,경상남도,김해시,김해시 보도의 설치 및 관리에 관한 조례,2019-05-31,지방의회 8기,건설도시,,
34224,기초지자체_시,경상남도,김해시,김해시 미세먼지 저감 및 관리에 관한 조례,2019-05-31,지방의회 8기,환경,,
34225,기초지자체_시,경상남도,김해시,김해시 공공시설의 매점 및 자동판매기 설치 등에 관한 조례,2019-05-31,지방의회 8기,행정일반,,
34226,기초지자체_시,경상남도,김해시,김해시 시정모니터 운영 조례,2019-05-31,지방의회 8기,행정일반,,
34227,기초지자체_시,경상남도,김해시,김해시 민주화운동 기념에 관한 조례,2019-05-31,지방의회 8기,행정일반,,
34228,기초지자체_군,경상남도,산청군,산청군 4에이치활동 지원 조례,2019-05-31,지방의회 8기,농림수산,,
34229,기초지자체_군,경상남도,산청군,산청군 청소년상담복지센터 설치 및 운영 조례,2019-05-31,지방의회 8기,복지,,
34230,기초지자체_군,경상남도,산청군,산청군 빈집 지원 조례,2019-05-31,지방의회 8기,건설도시,,
34231,기초지자체_군,경상남도,합천군,합천군 상수도사업 설치 조례,2019-05-29,지방의회 8기,건설도시,,
34232,기초지자체_시,경상남도,진주시,진주시 미세먼지 피해저감 및 지원에 관한 조례,2019-05-17,지방의회 8기,환경,,
34233,기초지자체_군,경상남도,하동군,하동군 영유아 보육 조례,2019-05-15,지방의회 8기,복지,,
34234,기초지자체_군,경상남도,거창군,거창군 지역사회 안전 조례,2019-05-15,지방의회 8기,안전,,
34235,기초지자체_군,경상남도,거창군,거창군 도시가스 공급사업 보조금 지원 조례,2019-05-15,지방의회 8기,건설도시,,
34236,기초지자체_군,경상남도,남해군,남해군 민주평화통일자문회의 대행기관 운영에 관한 조례,2019-05-13,지방의회 8기,행정일반,,
34237,기초지자체_군,경상남도,남해군,남해군 노인복지관 관리 및 운영 조례,2019-05-13,지방의회 8기,복지,,
34238,기초지자체_시,경상남도,밀양시,밀양시 사회재난 구호 및 복구 지원에 관한 조례,2019-05-09,지방의회 8기,안전,,
34239,기초지자체_시,경상남도,밀양시,밀양시 불용의약품 등의 관리에 관한 조례,2019-05-09,지방의회 8기,보건의료,,
34240,기초지자체_군,경상남도,고성군,고성군 어장관리선의 척수 기준에 관한 조례,2019-05-07,지방의회 8기,농림수산,,
34241,광역지자체,경상남도,경상남도,경상남도 소방활동 방해차량 견인비용 지급 조례,2019-05-02,지방의회 8기,안전,,
34242,광역지자체,경상남도,경상남도,경상남도 여객자동차 운수사업자 및 대중교통운영자 재정지원 조례,2019-05-02,지방의회 8기,건설도시,,
34243,광역지자체,경상남도,경상남도,경상남도 대한적십자사 활동 지원에 관한 조례,2019-05-02,지방의회 8기,행정일반,,
34244,광역지자체,경상남도,경상남도,경상남도 도로점용료 징수 조례,2019-05-02,지방의회 8기,건설도시,,
34245,광역지자체,경상남도,경상남도,경상남도 장애인복지위원회 설치 및 운영 조례,2019-05-02,지방의회 8기,복지,,
34246,기초지자체_시,경상남도,사천시,사천시 농촌체험·휴양마을 육성 및 지원 조례,2019-05-02,지방의회 8기,문화관광,,
34247,기초지자체_시,경상남도,사천시,사천시 공공시설 내 장애인 최적관람석 설치ㆍ운영 조례,2019-05-02,지방의회 8기,복지,,
34248,기초지자체_시,경상남도,양산시,양산시의회 견학 운영 및 지원 조례,2019-05-02,지방의회 8기,의회,,
34249,기초지자체_시,경상남도,양산시,양산시 향교 지원 및 육성에 관한 조례,2019-05-02,지방의회 8기,문화관광,,
34250,기초지자체_시,경상남도,양산시,양산시 빈집 정비 지원 조례,2019-05-02,지방의회 8기,건설도시,,
34251,기초지자체_시,경상남도,양산시,양산시 장애인 차별금지 및 인권보장에 관한 조례,2019-05-02,지방의회 8기,복지,,
34252,기초지자체_시,경상남도,양산시,양산시 어린이집 안전에 관한 조례,2019-05-02,지방의회 8기,안전,,
34253,기초지자체_군,경상남도,합천군,합천군 빈집 정비에 관한 조례,2019-04-30,지방의회 8기,건설도시,,
34254,기초지자체_시,경상남도,통영시,통영시 임산부전용 주차구역 설치 및 운영에 관한 조례,2019-04-26,지방의회 8기,복지,,
34255,기초지자체_시,경상남도,통영시,통영시 미세먼지 피해 저감 및 관리에 관한 조례,2019-04-26,지방의회 8기,환경,,
34256,기초지자체_군,경상남도,의령군,의령군 충익사 관리 운영 조례,2019-04-17,지방의회 8기,문화관광,,
34257,기초지자체_시,경상남도,진주시,진주시 고령운전자 교통사고 예방에 관한 조례,2019-04-12,지방의회 8기,건설도시,,
34258,기초지자체_시,경상남도,진주시,진주시 산업단지재생추진협의회 구성ㆍ운영에 관한 조례,2019-04-12,지방의회 8기,경제산업,,
34259,기초지자체_시,경상남도,밀양시,밀양아리랑 보전 및 진흥에 관한 조례,2019-04-11,지방의회 8기,문화관광,,
34260,기초지자체_시,경상남도,밀양시,밀양시 초등학생 치과주치의 의료지원에 관한 조례,2019-04-11,지방의회 8기,보건의료,,
34261,기초지자체_시,경상남도,거제시,거제시 불용의약품 등의 관리 조례,2019-04-11,지방의회 8기,보건의료,,
34262,기초지자체_시,경상남도,거제시,거제시 건강도시 기본 조례,2019-04-11,지방의회 8기,보건의료,,
34263,기초지자체_시,경상남도,김해시,김해시 일제하 일본군위안부(성노예) 피해자 기념사업 지원 및 평화의 소녀상 보호ㆍ관리 조례,2019-04-05,지방의회 8기,복지,,
34264,기초지자체_시,경상남도,김해시,김해시 화학물질 안전관리 조례,2019-04-05,지방의회 8기,안전,,
34265,기초지자체_시,경상남도,김해시,김해시 요양병원 병실 내부 CCTV 설치 지원 조례,2019-04-05,지방의회 8기,보건의료,,
34266,기초지자체_시,경상남도,김해시,김해시 하수도사업 설치 조례,2019-04-05,지방의회 8기,건설도시,,
34267,기초지자체_시,경상남도,사천시,사천시 사회재난 구호 및 복구 지원에 관한 조례,2019-04-04,지방의회 8기,안전,,
34268,기초지자체_시,경상남도,사천시,사천시 중증장애인생산품 우선구매 촉진 등을 위한 조례,2019-04-04,지방의회 8기,경제산업,,
34269,기초지자체_군,경상남도,남해군,남해군 농번기 마을공동급식 지원 조례,2019-04-04,지방의회 8기,농림수산,,
34270,기초지자체_군,경상남도,거창군,거창군 농산물대금 선지급제 지원에 관한 조례,2019-04-03,지방의회 8기,농림수산,,
34271,기초지자체_군,경상남도,거창군,거창군 가축분뇨의 관리에 관한 조례,2019-04-03,지방의회 8기,환경,,
34272,기초지자체_군,경상남도,거창군,거창군 병역명문가 예우와 지원에 관한 조례,2019-04-03,지방의회 8기,복지,,
34273,기초지자체_군,경상남도,거창군,거창군 어린이ㆍ노인 및 장애인 교통안전 증진 조례,2019-04-03,지방의회 8기,안전,,
34274,기초지자체_군,경상남도,합천군,합천군 군민안전보험 가입 및 운영 조례,2019-04-03,지방의회 8기,안전,,
34275,기초지자체_군,경상남도,합천군,합천군 지하안전위원회에 관한 조례,2019-04-03,지방의회 8기,안전,,
34276,기초지자체_군,경상남도,합천군,합천군 도시가스 공급사업 보조금 지원 조례,2019-04-03,지방의회 8기,건설도시,,
34277,기초지자체_군,경상남도,산청군,산청군 한국지역진흥재단 지원 조례,2019-03-29,지방의회 8기,문화관광,,
34278,기초지자체_군,경상남도,산청군,산청군 사회재난 구호 및 복구 지원에 관한 조례,2019-03-29,지방의회 8기,안전,,
34279,기초지자체_군,경상남도,산청군,산청군 1인 가구의 고독사 예방 및 지원에 관한 조례,2019-03-29,지방의회 8기,복지,,
34280,기초지자체_군,경상남도,산청군,재단법인 산청군 향토장학회 설립 및 운영 지원 조례,2019-03-29,지방의회 8기,교육,,
34281,기초지자체_군,경상남도,산청군,산청군 도시가스 공급사업 보조금 지원 조례,2019-03-29,지방의회 8기,건설도시,,
